,clean_text
0,gausah males sayangnya tidak rubah sopi 
1,halo kak selamat siang dicekkan resi jneb kiriman lazada aplikasi estimasi sampainya tanggal customer terima dicek web ga keluar 
2,cek dm 
3,paket resi kirim tanggal malang tanggal statusnya penerima tidak dikenal pdhl alamat penerima sdh hingga skrh paket diterima 
4,ditanyakan silahkan menghubungi twitter pengecekan paket kakak klik link terima kasih naya 
5,sejarahnya cepat woi bukan pengguna espedisi cuy kasus kesekian kalinya mengalami dalam pengiriman via 
6,oee balas dm antum paketnya terlanjur basi sarapan 
7,sdh skrng estimasi hampir sebulan paket barang kecil berbobot kg ongkos kirim diatas kbakalan tertinggal espedisi seblah deh kapok pakai deh 
8,beda keterangan estimasi halo sdh estimasi paket instan ongkos kirim bayar ketinggalan deh espedisi seblah 
9,selamat siang lapor paket dalam keadaan tidak utuh gambar peringatan fragile tanggung jawabnya pengiriman barang fragile tidak utuh terima kasih 
10,pagi kak paketnya pengantaran alamat penerima mohon menunggu pengantarannya estimasi pengiriman cek pengiriman 
11,halo menangin hadiah yuk partisipasi dalam x robinson instagram id semoga beruntung 
12,paket tidak jalan tracking pengirimannya benar terlambat mohon informasi nya paket 
13,pengiriman via darat laut informasi silahkan hubungi twitter facebook cek status paket link terima kasih rio 
14,malam kak bella senang mendengar kabar baiknya terima kasih menggunakan jasa layanan setia menggunakan jasa kak ditanyakan silahkan hubungi media sosial twitter kak terima kasih dani 
15,mlm menanyakan terkait paket tidak terima keterangan paket sdh terima orng tidak kenal resi jt penanganannya terkait paket 
16,bismillah semoga kasus up 
17,wallahi fatal coba internalnya sebatas masang barcode salah rugi fix percaya ngelepas setia tnpa back up bismillah kak dicoba mudah an amanah ttp perjuangin ganti rugi dr 
18,ampun paket kg difikir pakai logika fix sih kak dzalim perjuangin kak meskipun capek bolak telepon jawabannya buang banget tanggung jawab uang gamau ngembaliin barang gabisa 
19,malam kak mohon bantuannya paket tertukar salah tempel resi kak sebelahnya tempelan nama penerima paket asli mohon solusinya 
20,paket proses mei s paketnya komunikasi makassar tidak solusi respon lambat mungkin butuh respon 
21,uda pakai register cepat pakai yes 
22,sore kak ilham mimin cek kirimannya diberangkatkan jakarta diwilayah depok estimasi pengiriman mohon ditunggu kak cek pengiriman kak 
23,sore kak informasi terkait jlc silahkan hubungi twitter kak terima kasih amin 
24,cek dm 
25,tggjwb resi paket tersesat labuan bajo paket jalan labuan bajo paket piknik labuan bajo kerusakan isi paket kesalahan tggjwb mimin silakan jawab 
26,nunggu min bawa dihin edy eko bambang dilan deni tlong smpekan kurirnya smpai capek nunggu suruh alihkan nnti ongkirnya sya bayar gk papa pnting smpai 
27,beli bareng sadar kirim nya pakai acommerce track sblmnya tidak keterangan tracking nya tumben diproses nya by seandainya amp butuh urgent paketnya dikirim didahulukan kena biaya an gapa 
28,keterlaluan banget pakai sminggu ga nyampe 
29,selesaikan permasalahan paket dinyatakan hilang bontang pengiriman kaubun dinyatalan hilang klaim hilang penggantian 
30,solusinya min telpon berkali datangin pusat agen awal kirim paket bilang proses tidak jawab kepastian 
31,siang kerjasama kurir acommerce terima kasih 
32,min paket tanggal may stuck sorting center sanggup menerima order tidak tidak sanggup bilang media tidak ngirim paket data dm 
33,admin paket tidak jalan jalan cuman diterima warehouse sorting centre doang parah sih cuman didiemin gudang resi tjr 
34,pagi kak diyan admin cek paketnya dalam proses penerusan kota tujuan pengirimannya dalam estimasi mohon ditunggu pengecekan status paket kakak link 
35,admin cek dm paket pakai yes ga tindaklanjuti 
36,pagi kak nico admin cek jadwal pengantaran diantarkan alamat penerima pengirimannya dalam estimasi mohon ditunggu pengecekan status paket kakak link 
37,halo selamat pagi kirim barang pakai jtr terdekat kakak kirim barang meja rias terima kasih kakak 
38,hallo selamat pagi jasa peragenan frenchise dibandung dibuka dipusat katanya ditutup terimakasih 
39,hai kak handhika tarifnya rp biaya estimasi syaratnya kakak konfirmasi pengirimannya kak terima kasih dilan 
40,besok tanggal mei buka tidak ngirim 
41,malam tomang terima jasa packing ditempat 
42,malam kak reina kakak mengirimkan paket menyediakan kak jasa packing paketnya silahkan agen terdekat kakak terima kasih dani 
43,jedante amp terkewae butuh x jam kirim alamat pengirim penerima brapa min 
44,hadeuuh tidak kepaksa w gabakal pakai kurir cek dm min 
45,kiriman kakak cek ditanyakan silahkan hubungi media social twitter terima kasih tomi 
46,area semarang admn sarankan kantor perwakilan jl sultan agung a telepon buka jam infonya kak terima kasih dika 
47,harap paketnya diterima informasi silahkan hubungi twitter facebook cek status paket link terima kasih rio 
48,hai kak terima kasih apresiasinya adm senang paket kakak cepat setia menggunakan layanan kak sungkan dm adm adm jam kakak terima kasih tomi 
49,pending paket beli alamat pengiriman kargo x kurir kargo paket beli mei stuck tidak update progres pengirimannya 
50,terima kasih paket cpt nyampenya pdhl reguler dianter rumah beda jasa jemput rumah makan gang cs nya bagus banget pelayanannya via twitter gapunya pulsa alternatif wkwk lof yu tysm 
51,sore kak febe adm cek paket nomor resi tsb operasional tujuan dalam proses mohon tunggu estimasi service jtr kak tracking kiriman kakak cek 
52,sore kak informasinya lee bantu kak paket diteruskan menggunakan masuk mohon diinformasikan nomor resi kirimannya via dm kak dicek terima kasih lee 
53,haloo paketan yah bolong pas nyampe disana uda tanda fragile pecah belah pakenya reguler ditawarin mas mas cimone katanya aman pengirimannya dibanding jtr 
54,mohon cek kak kakak cek pengiriman paket ditanyakan silahkan hubungi media sosial twitter terima kasih dani 
55,min bantu cek resi pengiriman cashless blibli blijc 
56,min mohon kesediaan nya bantu retweet mohon kesediaan bantuannya ibu member jlc 
57,to pelayanan purbalingga kirim paket seberat kg box terkirim rumah box box isi paketnya remuk mungkin banting tulisan isi paketnya bahan makanan 
58,halo paket resi status transit mei 
59,awal kebaikan kesuksesan jalani dalam seminggu semangat yaa lupa jaga kesehatan terapkan protokol kesehatan yaa salam staff megahub project pusat jakarta 
60,diproses 
61,setau proses pengiriman correct me if i m wrong 
62,paket ku tulisannya on process yaa 
63,gilak sih rekor pakai barang stuck tidak resi tjr 
64,suka tersesat kejadian kalinya jam bilangnya rumah kosong ga kurir rumah jam segitu bangun perkuliahan daring 
