id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1399959925472645121,Wed Jun 02 05:23:50 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@JNECare Gausah ..udah males sma  jne .. sayangnya ekspedisi gak bisa di rubah dri pihak sopi,gausah males jne sayangnya ekspedisi tidak rubah sopi,in,0,0,naufalylyn,,,JNECare,"Jawa Tengah, Indonesia",
1399959904102739977,Wed Jun 02 05:23:45 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@JNECare halo kak selamat siang, bisa minta tolong dicekkan resi JNEB-1000029883 kiriman dari Lazada. soalnya di aplikasi estimasi sampainya tgl 31 tapi customer belum terima dan dicek di web jne ga keluar 🙏 https://t.co/o5gkhg0d4K",halo kak selamat siang dicekkan resi jneb kiriman lazada aplikasi estimasi sampainya tanggal customer terima dicek web jne ga keluar,in,0,0,kaniasaja79,False,,JNECare,SUB - DPS,
1399954976525283328,Wed Jun 02 05:04:10 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@JNECare Tolong cek dm. @jne,cek dm,in,0,0,cairin_id,,,"JNECare, jne","Jakarta Capital Region, Indone",
1399954873764904965,Wed Jun 02 05:03:46 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@JNECare @JNE_ID @jne paket saya no.resi 0801492100035625
Kirim tgl 28/5/2021 ke Malang, tgl 1/6/2021 statusnya penerima tdk dikenal pdhl alamat dan penerima sdh jelas,hingga skrh paket belum diterima...",paket resi kirim tanggal malang tanggal statusnya penerima tidak dikenal pdhl alamat penerima sdh hingga skrh paket diterima,in,0,0,diana_rosyi,,,"JNECare, JNE_ID, jne","DKI Jakarta, Indonesia",
1399937230110531590,Wed Jun 02 03:53:39 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@Jajang_jays Jika masih ada yang ingin ditanyakan atau kurang jelas silahkan menghubungi kami di Twitter @JNECare dan untuk pengecekan paket kakak juga bisa klik link ini: https://t.co/Xb8PVpOx9h ya :) Thanks ^Naya (2/2),ditanyakan silahkan menghubungi twitter pengecekan paket kakak klik link terima kasih naya,in,0,0,JNECare,False,,"Jajang_jays, JNECare",Jakarta,
1399934459772686336,Wed Jun 02 03:42:39 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@JNECare Mana ada sejarahnya jne bisa lebih cepet woi...

Gw bukan pengguna baru di espedisi cuy.

Ini kasus yg kesekian kalinya mengalami masalah dalam pengiriman via jne.
😂😂",sejarahnya jne cepat woi bukan pengguna espedisi cuy kasus kesekian kalinya mengalami dalam pengiriman via jne,in,0,0,Wanlovesaja,,,JNECare,"Sidenreng Rappang, Sulawesi Se",
1399934225747386368,Wed Jun 02 03:41:43 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Oee @JNE_ID @JNECare balas DM antum dong, paketnya lama. Keburu basi, mau buat sarapan nih",oee balas dm antum paketnya terlanjur basi sarapan,in,0,0,fadjar_biasa,,,"JNE_ID, JNECare",Yogyakarta,
1399933894460276739,Wed Jun 02 03:40:24 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@JNECare Saya sdh tau sebelumnya.

Pertanyaan saya, cuma jne nih yg skrng punya estimasi hampir sebulan dgn paket barang kecil dan berbobot kurang dri 10kg serta ongkir diatas 100k
😅😅😅😅
Bakalan tertinggal jauh sm espedisi seblah dah.
Kapok pake jne dah.",sdh jne skrng estimasi hampir sebulan paket barang kecil berbobot kg ongkos kirim diatas kbakalan tertinggal espedisi seblah deh kapok pakai jne deh,in,0,0,Wanlovesaja,,,JNECare,"Sidenreng Rappang, Sulawesi Se","[[95.004677, -11.007615], [141.0549412, -11.007615], [141.0549412, 5.906884], [95.004677, 5.906884]]"
1399932224061931520,Wed Jun 02 03:33:46 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@ShopeeID Beda dong dengan keterangan @JNE_ID @JNECare yg yg mengatakan estimasi 21-26hari 😂😂😂

Halo ini sdh 2021, masih ada estimasi yg lama dengan paket instan.
Padahal ongkir bayar lama.

Bakal ketinggalan jauh dah dengan espedisi seblah.",beda keterangan estimasi halo sdh estimasi paket instan ongkos kirim bayar ketinggalan deh espedisi seblah,in,0,0,Wanlovesaja,,,"ShopeeID, JNE_ID, JNECare","Sidenreng Rappang, Sulawesi Se",
1399927656670400516,Wed Jun 02 03:15:37 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Selamat siang @JNECare, mau lapor, paket saya datang dalam keadaan yg tidak begitu utuh seperti pada gambar. Padahal ada peringatan ""Fragile"". Tolong tanggung jawabnya kepada @JNECare @JNE_ID . Bagaimana bisa pengiriman barang yg ""Fragile"" ini bisa tidak utuh seperti ini? Thx https://t.co/0RaDjx5tNi",selamat siang lapor paket dalam keadaan tidak utuh gambar peringatan fragile tanggung jawabnya pengiriman barang fragile tidak utuh terima kasih,in,0,0,aditlain,False,,"JNECare, JNECare, JNE_ID",Indonesia,
1399920931879849988,Wed Jun 02 02:48:54 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@sedotanmarimas_ Pagi kak, hari ini paketnya sedang pengantaran ke alamat penerima. Mohon menunggu pengantarannya, estimasi 3-4 hari setelah pengiriman. Untuk cek pengiriman bisa juga langsung di https://t.co/Xb8PVpOx9h ya. (1/2)",pagi kak paketnya pengantaran alamat penerima mohon menunggu pengantarannya estimasi pengiriman cek pengiriman,in,0,0,JNECare,False,,sedotanmarimas_,Jakarta,
1399908989807206406,Wed Jun 02 02:01:26 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Halo #TemanJNE semua! Mau menangin berbagai macam hadiah dari JNE? Yuk partisipasi dalam #GamesSiJoni X Robinson JNE hanya di Instagram JNE (@/JNE_ID)! Semoga beruntung ya!

#JNE #ConnectingHappiness #KreasiKotakJNE https://t.co/FG45pVrTHB",halo menangin hadiah jne yuk partisipasi dalam x robinson jne instagram jne jne id semoga beruntung,in,4,0,JNE_ID,False,"TemanJNE, GamesSiJoni, JNE, ConnectingHappiness, KreasiKotakJNE",,Indonesia,
