,id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
0,1400017602852712453,Wed Jun 02 09:13:02 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@jntexpressid Itu tuh min https://t.co/84JyOa4BFP,tuh min,in,0,0,billytebe,False,,jntexpressid,,
1,1400017387840172039,Wed Jun 02 09:12:10 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@billytebe halo ka, boleh minta nomor resinya disini untuk mimin bantu follow up terlebih dahulu, terima kasih :)",halo kakak nomor resinya disini mimin bantu follow up terima kasih,in,0,0,jntexpressid,,,billytebe,Indonesia,
2,1400015994777575428,Wed Jun 02 09:06:38 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jadi ceritanya habis kirim paket pake @jntexpressid trs uda bayar, dpt no resi, uda kirim ke penerima, eh sampe sana penerima disuruh bayar. Ini gimana sih harusnya? Selama ini ngga pernah gitu padahal.. huhuhuhuu https://t.co/ijEnfFN9fj",ceritanya habis kirim paket pakai uda bayar resi uda kirim penerima eh penerima disuruh bayar sih tidak huhuhuhuu,in,0,0,billytebe,False,,jntexpressid,,
3,1400013971608899586,Wed Jun 02 08:58:36 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@jntexpressid Bisa tolong bantu? @jntexpressid ini ada cust yg beli pake cod tp ga bayar jd paket balik lagi ke saya, tp return nya gajelas skrng barangnya kmna? Rugi saya kalo barang ga balik tolong di bantu https://t.co/KmzzlcPZ7H",bantu cust beli pakai cod ga bayar paket return nya gajelas skrng barangnya kmna rugi barang ga bantu,in,0,0,HaruHarujoa,False,,"jntexpressid, jntexpressid",,
4,1400012847556415489,Wed Jun 02 08:54:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jntexpressid Sore, min mau tanya tadi siang saya anter 2 paket shopeee. cuman yg satu status dishopeeenya blm berubah sedangkan yang satunya sudah berubah, bisa dibantu?🙏🏻",sore min siang paket shopeee cuman status dishopeeenya berubah satunya berubah dibantu,in,0,0,doysaa,,,jntexpressid,@.@,
5,1400011900197367809,Wed Jun 02 08:50:22 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@ndrjs_ halo ka, mohon cek DM dari kami ya ka, terima kasih :)",halo kakak mohon cek dm kakak terima kasih,in,0,0,jntexpressid,,,ndrjs_,Indonesia,
6,1400009446026145792,Wed Jun 02 08:40:37 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@jntexpressid Tolong dong mau nnya paket saya udah sampe mana JP0433094812 ko di shopee udah mau di antar ke penerima balik lagi paket masih di janto https://t.co/ohRmn2EoVS,nnya paket jp ko shopee penerima paket janto,in,0,0,alfiaholshop,False,,jntexpressid,,
7,1400007686394060801,Wed Jun 02 08:33:37 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@jntexpressid 
JP3280382875
Ka mohon bantuannya",jp kakak mohon bantuannya,in,0,0,rizki_rindi,,,jntexpressid,"Tangerang,banten",
8,1400007517455806464,Wed Jun 02 08:32:57 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jntexpressid @mamawshark Halo kak. Saya belum terima ini paket. Tapi kok status nya udh diterima ya, help plis https://t.co/v6AEcWpYH3",halo kak terima paket status nya diterima help plis,in,0,0,kikiiriski,False,,"jntexpressid, mamawshark","DKI Jakarta, Indonesia",
9,1400006339544322048,Wed Jun 02 08:28:16 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@jntexpressid tolong f/u pesanan sy no resi JP9308731260. Toko sdh buka tp paketan belum dikirim lagi,f pesanan resi jp toko sdh buka paketan dikirim,in,0,0,hydhea,,,jntexpressid,"Toronto, CANADA",
10,1400004707951681539,Wed Jun 02 08:21:47 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jntexpressid halo kak, mau tanya paket saya dari shoppe statusnya udah diterima. Tapi saya belum nerima, bisa tolong bantu🙏",halo kak paket shoppe statusnya diterima nerima bantu,in,0,0,kikiiriski,,,jntexpressid,"DKI Jakarta, Indonesia",
11,1400001499632005127,Wed Jun 02 08:09:02 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@njmcity00 @jntexpressid g bgt lo,g banget,in,0,0,amberskiesxd,,,"njmcity00, jntexpressid","Cilacap, Jawa Tengah",
12,1399995425612984320,Wed Jun 02 07:44:54 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@jntexpressid Ditunggu reportnya, capek ngejelasin dari awal setiap telfon cs",ditunggu reportnya capek ngejelasin awal telfon cs,in,0,0,kacangatooom,,,jntexpressid,,
13,1399992795461406720,Wed Jun 02 07:34:27 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@mellifluosu_you Halo ka, mohon maaf atas ketidaknyamanannya. Berdasarkan status paket tsb, saat ini paket sedang on process pengiriman menuju denpasar gateway, mohon kesediaannya untuk menunggu ka, akan segera dimaksimalkan. Terima kasih :)",halo kakak mohon maaf ketidaknyamanannya status paket tsb paket on process pengiriman menuju denpasar gateway mohon kesediaannya menunggu kakak dimaksimalkan terima kasih,in,0,0,jntexpressid,,,mellifluosu_you,Indonesia,
14,1399992598643630084,Wed Jun 02 07:33:40 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @jntexpressid: Ada sedikit tips nih dari mimin, selalu rekam saat kamu membuka paket yang telah diterima ya. Jika paket tdk sesuai maka…",tips mimin rekam membuka paket diterima paket tidak maka,in,0,0,depodIGHIN,,,jntexpressid,Prince Milanello™,
15,1399992578649464837,Wed Jun 02 07:33:36 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @jntexpressid: 1. Siapkan uang tunai senilai total harga belanjaan yang tertera. (termasuk harga ongkos kirim)
2. Usahakan JnT Friends d…",siapkan uang tunai senilai total harga belanjaan tertera harga ongkos kirim usahakan jnt friends,in,0,1,depodIGHIN,,,jntexpressid,Prince Milanello™,
16,1399992539340439557,Wed Jun 02 07:33:26 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @jntexpressid: Hai, JnT Friends yuk jadi pembeli yang cermat saat menggunakan fitur COD J&amp;T Express agar sama-sama nyaman saat melakukan…",hai jnt friends yuk pembeli cermat menggunakan fitur cod j amp t express nyaman melakukan,in,0,5,depodIGHIN,,,jntexpressid,Prince Milanello™,
17,1399991191630860291,Wed Jun 02 07:28:05 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jntexpressid Sudah melewati tgl estimasi juga. Saya agak panik soalnya baru pertama kali seperti ini. Boleh dibantu follow up ya min, nomor resi sudah tertera di gambar. Terima kasih admin, semoga sehat selalu🙏",melewati tanggal estimasi agak panik dibantu follow up min nomor resi tertera gambar terima kasih admin semoga sehat,in,0,0,mellifluosu_you,,,jntexpressid,baby I know we were special,
18,1399991184831881220,Wed Jun 02 07:28:03 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@choindahh Halo ka, mohon maaf atas ketidaknyamanannya. Laporan sudah diterima dan akan dibantu cek dan follow up dgn pihak terkait terlebih dahulu agar segera dimaksimalkan, mohon kesediaannya untuk menunggu. Terima kasih :)",halo kakak mohon maaf ketidaknyamanannya laporan diterima dibantu cek follow up terkait dimaksimalkan mohon kesediaannya menunggu terima kasih,in,0,0,jntexpressid,,,choindahh,Indonesia,
19,1399990925871357952,Wed Jun 02 07:27:01 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@kacangatooom baik ka, laporan sudah diterima dan akan dibantu cek dan follow up dgn pihak terkait terlebih dahulu, mohon kesediaanya untuk menunggu, terima kasih :)",kakak laporan diterima dibantu cek follow up terkait mohon kesediaanya menunggu terima kasih,in,0,0,jntexpressid,,,kacangatooom,Indonesia,
20,1399990765338595328,Wed Jun 02 07:26:23 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jntexpressid Halo, admin @jntexpressid , maaf mengganggu ya. Saya ga tau harus nanya sama siapa soalnya. Ini paket saya statusnya sempat tiba di kota tujuan (Denpasar), namun malah travelling ke Medan, lalu ke Jakarta. Kemudian statusnya belum berubah sampai saat ini. https://t.co/uGB64shf7J",halo admin maaf mengganggu ga paket statusnya kota tujuan denpasar travelling medan jakarta statusnya berubah,in,0,0,mellifluosu_you,False,,"jntexpressid, jntexpressid",baby I know we were special,
21,1399990677455265797,Wed Jun 02 07:26:02 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@TSusannto halo kaka, boleh minta nomor resinya disini untuk mimin bantu cek dahulu, terima kasih :)",halo kakak nomor resinya disini mimin bantu cek terima kasih,in,0,0,jntexpressid,,,TSusannto,Indonesia,
22,1399990038184661001,Wed Jun 02 07:23:30 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@UlfaRizkayana Halo ka, mohon maaf atas ketidaknyamanannya. Untuk status paket tsb, akan dibantu cek dan follow up dgn pihak terkait terlebih dahulu, mohon kesediaannya untuk menunggu. Terima kasih :)",halo kakak mohon maaf ketidaknyamanannya status paket tsb dibantu cek follow up terkait mohon kesediaannya menunggu terima kasih,in,0,0,jntexpressid,,,UlfaRizkayana,Indonesia,
23,1399989757652832256,Wed Jun 02 07:22:23 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@jntexpressid ini minn tolong dong udah 2 hari ga gerak kenapa ya JP8371952416 😭😭😭😭,minn ga gerak jp,in,0,0,rutoscan,,,jntexpressid,sbt & rants. ,
24,1399989685833793540,Wed Jun 02 07:22:06 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jntexpressid halo admin jnt,saya mau nanya status barang yg saya kirim ada dimana. distatus udah ga terkirim. tapibarang kenapa tdk dibalikin ke saya. mohon penjelasan",halo admin jnt status barang kirim distatus ga terkirim tapibarang tidak dibalikin mohon penjelasan,in,0,0,sam_bejoe,,,jntexpressid,"Bandung, Jawa Barat",
25,1399989607253483520,Wed Jun 02 07:21:47 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@rutoscan halo kaka, boleh minta nomor resinya disini agar mimin dapat bantu follow up, terima kasih :)",halo kakak nomor resinya disini mimin bantu follow up terima kasih,in,0,0,jntexpressid,,,rutoscan,Indonesia,
26,1399989334950907907,Wed Jun 02 07:20:42 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@AnggretDS baik ka, mohon maaf untuk ketidaknyamanannya. laporan sudah diterima dan akan dibantu follow up agar segera dimaksimalkan, mohon kesediaannya untuk menunggu ka, terima kasih :)",kakak mohon maaf ketidaknyamanannya laporan diterima dibantu follow up dimaksimalkan mohon kesediaannya menunggu kakak terima kasih,in,0,0,jntexpressid,,,AnggretDS,Indonesia,
27,1399989166209859585,Wed Jun 02 07:20:02 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jntexpressid @go_ringo_rin Hah? Kapal? Kata mas kurir yg sering anter paket, kalau keluar pulau pake pesawat min? Kok ini pake kapal?",hah kapal mas kurir paket keluar pulau pakai pesawat min pakai kapal,in,0,0,bmp294,,,"jntexpressid, go_ringo_rin","Kota Yogyakarta, Yogyakarta",
28,1399988727733051392,Wed Jun 02 07:18:17 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@AgungRuswendi2 Halo ka, mohon maaf atas ketidaknyamanannya. Berdasarkan status paket tsb, saat ini paket sedang on process menuju DC_GARUT per tgl 2 Juni, mohon kesediaannya untuk menunggu ka. Terima kasih :)",halo kakak mohon maaf ketidaknyamanannya status paket tsb paket on process menuju dc garut tanggal mohon kesediaannya menunggu kakak terima kasih,in,0,0,jntexpressid,,,AgungRuswendi2,Indonesia,
29,1399988548577628163,Wed Jun 02 07:17:35 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@jntexpressid nomor resi JP8371952416,nomor resi jp,ht,0,0,rutoscan,,,jntexpressid,sbt & rants. ,
30,1399988358835695617,Wed Jun 02 07:16:49 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@mediokray halo ka, untuk kendala terkait pickup paket mohon menghubungi tim call center kami di 02180661888 untuk info lebih lanjut, terima kasih :)",halo kakak kendala terkait pickup paket mohon menghubungi tim call center informasi terima kasih,in,0,0,jntexpressid,,,mediokray,Indonesia,
31,1399988241613287424,Wed Jun 02 07:16:21 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@go_ringo_rin Halo ka, mohon maaf untuk ketidaknyamanannya. Untuk layanan J&amp;T ECO memang sedikit lebih lama dari pegiriman regular ka dan saat ini status paket sedang on process menuju kendari gateway via transportasi Kapal, mohon ditunggu ka. Terima kasih :)",halo kakak mohon maaf ketidaknyamanannya layanan j amp t eco memang pegiriman regular kakak status paket on process menuju kendari gateway via transportasi kapal mohon ditunggu kakak terima kasih,in,0,0,jntexpressid,,,go_ringo_rin,Indonesia,
32,1399987908895936516,Wed Jun 02 07:15:02 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@Molla55782327 Halo ka, mohon maaf untuk ketidaknyamanannya. Untuk status paket tsb,saat ini paket sedang on process menuju tambolaka gateway, mohon kesediaannya untuk menunggu ka, akan segera dimaksimalkan. Terima kasih :)",halo kakak mohon maaf ketidaknyamanannya status paket tsb paket on process menuju tambolaka gateway mohon kesediaannya menunggu kakak dimaksimalkan terima kasih,in,1,0,jntexpressid,,,Molla55782327,Indonesia,
33,1399987457945268224,Wed Jun 02 07:13:15 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@mamawshark halo ka, boleh minta nomor resinya disini untuk mimin bantu follow up terlebih dahulu, terima kasih :)",halo kakak nomor resinya disini mimin bantu follow up terima kasih,in,0,0,jntexpressid,,,mamawshark,Indonesia,
